코드,성별
1410,여
1411,남
1412,여
1413,여
1414,남
1415,여
1416,여
1417,남
1418,여
1419,여
1420,여
1421,남
1422,여
1423,남
1424,여
1425,남
1426,여
1427,남
1428,남
1429,남
1430,남
1431,남
1432,여
1433,여
1434,여
1435,여
1436,여
1437,남
1438,여
1439,여
1440,남
1441,남
1442,남
1443,여
1444,남
1445,여
1446,남
1447,여
1448,남
1449,여
1450,여
1451,여
1452,남
1453,남
1454,남
1455,남
1456,여
1457,남
1458,남
1459,남
1460,남
1461,남
1462,여
1463,남
1464,남
1465,남
1466,남
1467,여
1468,여
1469,남
1470,남
1471,남
1472,여
1473,남
1474,여
1475,여
1476,여
1477,여
1478,여
1479,남
1480,남
1481,여
1482,여
1483,남
1484,여
1485,여
1486,남
1487,남
1488,남
1489,여
1490,남
1491,여
1492,남
1493,여
1494,여
1495,여
1496,남
1497,여
1498,남
1499,남
1500,남
1501,여
1502,여
1503,남
1504,남
1505,여
1506,남
1507,남
1508,여
1509,남
1510,여
1511,남
1512,남
1513,남
1514,남
1515,남
1516,여
1517,여
1518,남
1519,여
1520,여
1521,남
1522,남
1523,여
1524,여
1525,남
1526,남
1527,남
1528,남
1529,남
1530,남
1531,남
1532,여
1533,여
1534,남
1535,여
1536,여
1537,여
1538,남
1539,남
1540,여
1541,남
1542,여
1543,남
1544,남
1545,남
1546,남
1547,남
1548,남
1549,남
1550,여
1551,남
1552,여
1553,남
1554,남
1555,여
1556,남
1557,여
1558,남
1559,여
1560,남
1561,남
1562,여
1563,남
1564,여
1565,여
1566,여
1567,여
1568,남
1569,남
1570,남
1571,남
1572,여
1573,여
1574,남
1575,남
1576,남
1577,여
1578,남
1579,여
1580,남
1581,남
1582,남
1583,남
1584,남
1585,여
1586,남
1587,남
1588,남
1589,남
1590,여
1591,남
1592,여
1593,남
1594,여
1595,남
1596,남
1597,여
1598,남
1599,여
1600,남
1601,여
1602,남
1603,남
1604,남
1605,여
1606,남
1607,남
1608,남
1609,남
1610,여
1611,남
1612,남
1613,여
1614,남
1615,여
1616,남
1617,여
1618,여
1619,남
1620,여
1621,남
1622,남
1623,여
1624,여
1625,여
1626,남
1627,여
1628,남
1629,여
1630,여
1631,여
1632,남
1633,남
1634,남
1635,여
1636,남
1637,남
1638,남
1639,남
1640,여
1641,남
1642,남
1643,여
1644,남
1645,남
1646,남
1647,여
1648,남
1649,여
1650,남
1651,여
1652,여
1653,남
1654,남
1655,남
1656,남
1657,남
1658,남
1659,여
1660,여
1661,남
1662,여
1663,남
1664,여
1665,여
1666,여
1667,여
1668,남
1669,여
1670,남
1671,여
1672,여
1673,여
1674,남
1675,여
1676,남
1677,여
1678,여
1679,여
1680,여
1681,남
1682,여
1683,남
1684,여
1685,남
1686,여
1687,남
1688,남
1689,남
1690,여
1691,남
1692,남
1693,여
1694,여
1695,여
1696,남
1697,여
1698,여
1699,여
1700,여
1701,여
1702,여
1703,여
1704,남
1705,남
1706,여
1707,남
1708,남
1709,여
1710,여
1711,여
1712,여
1713,여
1714,남
1715,남
1716,남
1717,남
1718,여
1719,여
1720,여
1721,여
1722,여
1723,여
1724,남
1725,남
1726,남
1727,남
1728,여
1729,남
1730,여
1731,여
1732,남
1733,남
1734,여
1735,남
1736,여
1737,남
1738,여
1739,남
1740,남
1741,남
1742,여
1743,남
1744,남
1745,남
1746,남
1747,남
1748,남
1749,남
1750,남
1751,남
1752,남
1753,여
1754,남
1755,여
1756,여
1757,남
1758,남
1759,남
1760,남
1761,여
1762,여
1763,남
1764,여
1765,남
1766,여
1767,남
1768,남
1769,남
1770,여
1771,남
1772,여
1773,남
1774,남
1775,남
1776,남
1777,남
1778,여
1779,여
1780,여
1781,남
1782,남
1783,여
1784,여
1785,남
1786,남
1787,남
1788,남
1789,여
1790,여
1791,남
1792,남
1793,남
1794,여
1795,여
1796,남
1797,남
1798,남
1799,남
1800,남
1801,남
1802,여
1803,여
1804,여
1805,남
1806,남
1807,남
1808,여
1809,남
1810,여
1811,남
1812,남
1813,여
1814,여
1815,여
1816,남
1817,남
1818,남
1819,남
1820,여
1821,여
1822,여
1823,여
1824,남
1825,남
1826,여
1827,남
1828,남
1829,여
1830,여
1831,남
1832,남
1833,남
1834,여
1835,남
1836,남
1837,여
1838,남
1839,여
1840,남
1841,남
1842,여
1843,남
1844,남
1845,여
1846,남
1847,남
1848,남
1849,여
1850,남
1851,남
1852,여
1853,여
1854,여
1855,남
1856,여
1857,남
1858,남
1859,여
1860,남
1861,남
1862,남
1863,여
1864,여
1865,여
1866,남
1867,여
1868,남
1869,여
1870,여
1871,여
1872,남
1873,남
1874,남
1875,여
1876,남
1877,여
1878,여
1879,남
1880,여
1881,여
1882,남
1883,여
1884,여
1885,여
1886,여
1887,남
1888,남
1889,남
1890,여
1891,여
1892,여
1893,여
1894,남
1895,여
1896,남
1897,여
1898,남
1899,남
1900,여
1901,여
1902,여
1903,남
1904,여
1905,여
1906,여
1907,여
1908,남
1909,여
1910,남
1911,여
1912,남
1913,남
1914,여
1915,여
1916,남
1917,남
1918,여
1919,여
1920,여
1921,남
1922,여
1923,여
1924,여
1925,남
1926,여
1927,남
1928,남
1929,여
1930,남
1931,여
1932,여
1933,남
1934,여
1935,여
1936,남
1937,남
1938,남
1939,여
1940,여
1941,여
1942,남
1943,남
1944,남
1945,남
1946,남
1947,남
1948,남
1949,여
1950,여
1951,여
1952,남
1953,남
1954,남
1955,여
1956,여
1957,여
1958,남
1959,남
1960,여
1961,남
1962,여
1963,여
1964,남
1965,남
1966,여
1967,남
1968,남
1969,여
1970,남
1971,남
1972,남
1973,남
1974,남
1975,여
1976,여
1977,여
1978,여
1979,여
1980,남
1981,여
1982,여
1983,남
1984,남
1985,남
1986,남
1987,남
1988,여
1989,남
1990,남
1991,남
1992,여
1993,남
1994,남
1995,여
1996,남
1997,여
1998,남
1999,여
2000,남
2001,여
2002,여
2003,남
2004,남
2005,여
2006,여
2007,남
2008,여
2009,남
2010,남
2011,여
2012,여
2013,남
2014,여
2015,여
2016,남
2017,남
2018,여
2019,여
2020,여
2021,남
2022,여
2023,여
2024,여
2025,여
2026,여
2027,여
2028,여
2029,남
2030,여
2031,여
2032,여
2033,남
2034,남
2035,여
2036,여
2037,여
2038,남
2039,여
2040,남
2041,남
2042,남
2043,여
2044,여
2045,남
2046,남
2047,남
2048,남
2049,남
2050,여
2051,남
2052,여
2053,남
2054,남
2055,남
2056,남
2057,남
2058,남
2059,남
2060,남
2061,남
2062,남
2063,남
2064,여
2065,남
2066,여
2067,남
2068,남
2069,남
2070,여
2071,여
2072,남
2073,여
2074,여
2075,남
2076,여
2077,남
2078,남
2079,여
2080,남
2081,남
2082,남
2083,여
2084,남
2085,여
2086,여
2087,남
2088,남
2089,여
2090,남
2091,남
2092,남
2093,여
2094,여
2095,남
2096,여
2097,남
2098,여
2099,남
2100,여
2101,남
2102,여
2103,남
2104,남
2105,남
2106,여
2107,남
2108,남
2109,남
2110,여
2111,여
2112,남
2113,여
2114,남
2115,여
2116,여
2117,남
2118,여
2119,여
2120,남
2121,남
2122,여
2123,남
2124,남
2125,남
2126,여
2127,남
2128,남
2129,남
2130,남
2131,여
2132,여
2133,남
2134,여
2135,여
2136,여
2137,여
2138,여
2139,남
2140,여
2141,여
2142,남
2143,여
2144,남
2145,여
2146,여
2147,여
2148,남
2149,여
2150,여
2151,여
2152,남
2153,남
2154,남
2155,남
2156,남
2157,남
2158,여
2159,여
2160,여
2161,남
2162,여
2163,남
2164,여
2165,여
2166,남
2167,여
2168,여
2169,남
2170,여
2171,여
2172,여
2173,남
2174,남
2175,남
2176,여
2177,남
2178,남
2179,여
2180,여
2181,여
2182,남
2183,남
2184,남
2185,남
2186,여
2187,여
2188,남
2189,남
2190,남
2191,남
2192,남
2193,여
2194,남
2195,여
2196,여
2197,남
2198,남
2199,남
2200,남
2201,남
2202,여
2203,남
2204,남
2205,여
2206,여
2207,남
2208,남
2209,여
2210,남
2211,남
2212,남
2213,여
2214,여
2215,남
2216,여
2217,남
2218,여
2219,남
2220,남
2221,남
2222,남
2223,남
2224,남
2225,여
2226,남
2227,여
2228,남
2229,남
2230,여
2231,남
2232,남
2233,여
2234,여
2235,여
2236,남
2237,여
2238,남
2239,여
2240,여
2241,남
2242,남
2243,남
2244,남
2245,남
2246,여
2247,여
2248,남
2249,여
2250,여
2251,남
2252,여
2253,남
2254,남
2255,여
2256,남
2257,여
2258,여
2259,남
2260,남
2261,여
2262,남
2263,여
2264,여
2265,남
2266,남
2267,남
2268,여
2269,여
2270,남
2271,남
2272,남
2273,여
2274,남
2275,남
2276,여
2277,여
2278,남
2279,남
2280,여
2281,남
2282,남
2283,남
2284,여
2285,여
2286,여
2287,남
2288,여
2289,여
2290,남
2291,여
2292,여
2293,남
2294,남
2295,여
2296,남
2297,여
2298,남
2299,남
2300,남
2301,여
2302,남
2303,여
2304,남
2305,남
2306,남
2307,남
2308,남
2309,여
2310,남
2311,여
2312,여
2313,여
2314,남
2315,여
2316,여
2317,남
2318,남
2319,남
2320,여
2321,여
2322,남
2323,남
2324,여
2325,남
2326,남
2327,여
2328,여
2329,남
2330,남
2331,여
2332,여
2333,남
2334,남
2335,남
2336,여
2337,남
2338,남
2339,여
2340,여
2341,남
2342,남
2343,여
2344,남
2345,여
2346,남
2347,남
2348,남
2349,남
2350,남
2351,남
2352,여
2353,여
2354,남
2355,남
2356,남
2357,남
2358,여
2359,여
2360,여
2361,남
2362,여
2363,남
2364,여
2365,남
2366,여
2367,남
2368,여
2369,여
2370,여
2371,남
2372,남
2373,남
2374,남
2375,여
2376,여
2377,여
2378,남
2379,남
2380,남
2381,여
2382,여
2383,여
2384,남
2385,남
2386,여
2387,남
2388,여
2389,여
2390,여
2391,남
2392,남
2393,남
2394,남
2395,남
2396,남
2397,남
2398,남
2399,여
2400,남
2401,여
2402,남
2403,남
2404,남
2405,여
2406,남
2407,남
2408,남
2409,여
2410,여
2411,남
2412,남
2413,여
2414,여
2415,남
2416,여
2417,남
2418,여
2419,남
2420,남
2421,남
2422,여
2423,남
2424,남
2425,남
2426,남
2427,여
2428,여
2429,여
2430,여
2431,여
2432,남
2433,여
2434,남
2435,남
2436,남
2437,남
2438,남
2439,남
2440,남
2441,남
2442,남
2443,여
2444,여
2445,여
2446,여
2447,여
2448,남
2449,남
2450,여
2451,남
2452,남
2453,남
2454,남
2455,남
2456,남
2457,남
2458,남
2459,여
2460,남
2461,남
2462,여
2463,여
2464,남
2465,남
2466,여
2467,남
2468,남
2469,남
2470,여
2471,여
2472,여
2473,남
2474,남
2475,여
2476,여
2477,남
2478,남
2479,남
2480,여
2481,남
2482,남
2483,남
2484,여
2485,남
2486,남
2487,남
2488,남
2489,남
2490,남
2491,남
2492,남
2493,여
2494,남
2495,남
2496,남
2497,남
2498,남
2499,여
2500,여
2501,여
2502,남
2503,남
2504,남
2505,남
2506,여
2507,남
2508,여
2509,남
2510,남
2511,남
2512,남
2513,여
2514,여
2515,남
2516,여
2517,여
2518,남
2519,남
2520,남
2521,남
2522,여
2523,남
2524,여
2525,여
2526,남
2527,남
2528,남
2529,여
2530,남
2531,남
2532,남
2533,남
2534,여
2535,여
2536,여
2537,여
2538,여
2539,여
2540,남
2541,여
2542,남
2543,여
2544,남
2545,여
2546,남
2547,남
2548,여
2549,여
2550,여
2551,여
2552,여
2553,여
2554,남
2555,여
2556,남
2557,남
2558,여
2559,남
2560,남
2561,여
2562,여
2563,여
2564,여
2565,여
2566,남
2567,남
2568,남
2569,남
2570,남
2571,여
2572,남
2573,남
2574,여
2575,남
2576,여
2577,남
2578,남
2579,여
2580,여
2581,여
2582,남
2583,여
2584,여
2585,여
2586,남
2587,여
2588,여
2589,여
2590,남
2591,남
2592,여
2593,남
2594,남
2595,남
2596,남
2597,여
2598,남
2599,남
2600,남
2601,여
2602,남
2603,여
2604,여
2605,남
2606,남
2607,남
2608,여
2609,남
2610,남
2611,남
2612,남
2613,남
2614,여
2615,남
2616,남
2617,남
2618,남
2619,남
2620,여
2621,여
2622,남
2623,남
2624,남
2625,여
2626,남
2627,여
2628,남
2629,여
2630,남
2631,여
2632,여
2633,남
2634,여
2635,남
2636,여
2637,여
2638,여
2639,남
2640,여
2641,남
2642,여
2643,여
2644,남
2645,여
2646,여
2647,남
2648,남
2649,여
2650,여
2651,남
2652,남
2653,남
2654,남
2655,남
2656,남
2657,여
2658,남
2659,남
2660,남
2661,남
2662,남
2663,여
2664,남
2665,여
2666,남
2667,여
2668,여
2669,남
2670,여
2671,여
2672,남
2673,남
2674,남
2675,남
2676,여
2677,남
2678,남
2679,남
2680,여
2681,여
2682,남
2683,남
2684,남
2685,남
2686,남
2687,남
2688,여
2689,남
2690,여
2691,여
2692,여
2693,여
2694,여
2695,여
2696,여
2697,남
2698,남
2699,여
2700,남
2701,남
2702,여
2703,남
2704,남
2705,남
2706,남
2707,남
2708,여
2709,남
2710,여
2711,여
2712,남
2713,여
2714,여
2715,남
2716,남
2717,남
2718,여
2719,남
2720,남
2721,여
2722,남
2723,남
2724,여
2725,남
2726,남
2727,여
2728,남
2729,남
2730,여
2731,남
2732,남
2733,남
2734,남
2735,여
2736,여
2737,여
2738,남
2739,남
2740,여
2741,남
2742,남
2743,남
2744,남
2745,남
2746,남
2747,남
2748,남
2749,여
2750,남
2751,남
2752,남
2753,남
2754,여
2755,남
2756,남
2757,남
2758,남
2759,여
2760,여
2761,여
2762,남
2763,남
2764,남
2765,여
2766,남
2767,남
2768,남
2769,여
2770,남
2771,여
2772,남
2773,남
2774,여
2775,남
2776,여
2777,남
2778,여
2779,여
2780,여
2781,남
2782,여
2783,남
2784,여
2785,남
2786,남
2787,여
2788,여
2789,여
2790,남
2791,여
2792,여
2793,남
2794,남
2795,남
2796,남
2797,남
2798,남
2799,남
2800,여
2801,여
2802,남
2803,남
2804,여
2805,남
2806,여
2807,여
2808,여
2809,여
2810,여
2811,여
2812,남
2813,남
2814,남
2815,남
2816,여
2817,남
2818,남
2819,여
2820,남
2821,남
2822,남
2823,여
2824,여
2825,남
2826,남
2827,남
2828,남
2829,여
2830,여
2831,여
2832,여
2833,여
2834,여
2835,여
2836,남
2837,남
2838,남
2839,여
2840,남
2841,여
2842,여
2843,여
2844,여
2845,남
2846,남
2847,여
2848,남
2849,여
2850,여
2851,여
2852,남
2853,남
2854,남
2855,여
2856,남
2857,남
2858,남
2859,여
2860,여
2861,여
2862,남
2863,남
2864,남
2865,남
2866,남
2867,남
2868,여
2869,여
2870,남
2871,여
2872,남
2873,여
2874,남
2875,남
2876,남
2877,남
2878,여
2879,남
2880,남
2881,남
2882,남
2883,여
2884,여
2885,남
2886,여
2887,남
2888,남
2889,여
2890,여
2891,남
2892,여
2893,여
2894,남
2895,여
2896,여
2897,남
2898,남
2899,남
2900,남
2901,남
2902,남
2903,여
2904,여
2905,남
2906,남
2907,남
2908,여
2909,여
2910,여
2911,남
2912,남
2913,남
2914,여
2915,남
2916,남
2917,남
2918,남
2919,여
2920,남
2921,남
2922,남
2923,남
2924,남
2925,여
2926,여
2927,남
2928,여
2929,남
2930,남
2931,남
2932,남
2933,여
2934,남
2935,여
2936,남
2937,남
2938,남
2939,남
2940,여
2941,여
2942,남
2943,남
2944,여
2945,여
2946,남
2947,여
2948,남
2949,남
2950,여
2951,남
2952,여
2953,남
2954,여
2955,남
2956,여
2957,남
2958,남
2959,여
2960,여
2961,남
2962,남
2963,여
2964,남
2965,여
2966,남
2967,여
2968,남
2969,남
2970,남
2971,남
2972,남
2973,남
2974,남
2975,남
2976,남
2977,남
2978,여
2979,여
2980,남
2981,여
2982,남
2983,남
2984,남
2985,여
2986,여
2987,여
2988,여
2989,여
2990,여
2991,남
2992,여
2993,남
2994,여
2995,남
2996,남
2997,여
