코드,이름,투타,포지션,생년월일,키,몸무게,외국인
62754,임기영,우언우타,투수,19930416,184,86,0
62761,박찬호,우투우타,투수,19730630,185,93,0
62768,김원석,우투우타,타자,19891029,182,83,0
62797,양성우,우투좌타,타자,19890502,174,84,0
62802,박승욱,우투좌타,타자,19921204,184,85,0
62833,부시,우투우타,투수,19791109,188,93,1
62859,마리오,우투우타,투수,19841216,185,95,0
62864,김민식,우투좌타,타자,19890628,180,80,0
62868,임치영,우언우타,투수,19881029,180,80,0
62869,문승원,우투우타,투수,19891128,180,88,0
62883,박인성,우투우타,타자,19900323,180,80,0
62884,최항,우투좌타,타자,19940103,183,88,0
62892,허건엽,우투우타,투수,19930724,178,88,0
62893,최정민,우투좌타,타자,19890602,177,72,0
62895,한동민,우투좌타,타자,19890809,190,105,0
62907,박민우,우투좌타,타자,19930206,185,80,0
62908,황윤호,우투우타,타자,19930922,177,78,0
62917,강구성,우투좌타,타자,19930609,180,82,0
62918,김태형,우투우타,투수,19930707,185,82,0
62919,김기현,좌투좌타,투수,19890403,184,96,0
62920,노성호,좌투좌타,투수,19891022,182,100,0
62921,박헌욱,우투우타,타자,19930411,184,88,0
62925,강진성,우투우타,타자,19931019,180,81,0
62927,김태우,우투우타,타자,19890723,181,81,0
62929,이민호,우투우타,투수,19930811,185,90,0
62931,노진혁,우투좌타,타자,19890715,184,80,0
62934,김성욱,우투우타,타자,19930501,181,83,0
62937,신재영,우언우타,투수,19891118,185,91,0
62941,정진,우투우타,투수,19790806,175,75,0
62947,나성범,좌투좌타,타자,19891003,183,100,0
62951,이형범,우투우타,투수,19940227,181,80,0
62966,최금강,우투우타,투수,19890426,195,95,0
62967,마낙길,우투우타,타자,19890622,178,75,0
63027,안성무,우투우타,투수,19901214,180,80,0
63077,황목치승,우투우타,타자,19850621,173,68,0
63088,김진곤,우투좌타,타자,19870910,173,75,0
63103,류원석,우언우타,투수,19891118,188,90,0
63104,조근종,우언우타,투수,19900516,186,80,0
63111,류제국,우투우타,투수,19830530,190,105,0
63123,강승호,우투우타,타자,19940209,180,90,0
63125,김재민,우투우타,타자,19910128,177,84,0
63137,이윤학,우투우타,투수,19940618,188,97,0
63145,배재준,우투우타,투수,19941124,188,80,0
63202,장승현,우투우타,타자,19940307,184,86,0
63229,핸킨스,우투우타,투수,19830701,195,88,1
63230,올슨,좌투좌타,투수,19831018,185,93,1
63248,함덕주,좌투좌타,투수,19950113,181,78,0
63257,김인태,좌투좌타,타자,19940703,178,78,0
63260,이우성,우투우타,타자,19940717,182,95,0
63292,박종기,우투우타,투수,19950121,177,68,0
63295,유창준,우투우타,투수,19890725,184,105,0
63339,김민준,우투우타,타자,19940212,175,75,0
63342,조상우,우투우타,투수,19940904,186,97,0
63348,조성운,우투우타,투수,19891002,185,88,0
63360,장시윤,우투우타,타자,19930923,183,75,0
63432,밴덴헐크,우투우타,투수,19850522,198,104,0
63440,이흥련,우투우타,타자,19890516,183,91,0
63448,김영환,우투좌타,타자,19930131,178,74,0
63450,정현,우투우타,타자,19940601,181,88,0
63462,로드리게스,우투우타,투수,19871213,193,91,1
63465,카리대,우투우타,투수,19831028,178,89,1
63512,박진형,우투우타,투수,19940610,181,77,0
63543,구승민,우투우타,투수,19900612,181,80,0
63554,임종혁,우투좌타,타자,19900407,177,77,0
63558,정준혁,좌투좌타,타자,19940401,181,93,0
63559,백동훈,우투우타,타자,19900916,184,98,0
63563,고도현,우투우타,타자,19901013,182,97,0
63593,조홍석,우투좌타,타자,19900223,175,78,0
63601,김광연,우투좌타,타자,19911113,182,73,0
63603,서용주,우투우타,타자,19900630,184,89,0
63606,이동훈,우투좌타,타자,19890428,176,72,0
63619,손동욱,좌투좌타,투수,19890806,184,95,0
63628,고영창,우투우타,투수,19890224,189,100,0
63634,이홍구,우투우타,타자,19901211,180,95,0
63636,고장혁,우투양타,타자,19900108,183,93,0
63638,박준표,우언우타,투수,19920626,181,93,0
63700,장운호,우투우타,타자,19940220,183,85,0
63703,박한결,우투우타,타자,19941224,183,76,0
63704,노수광,우투좌타,타자,19900806,180,80,0
63722,한승택,우투우타,타자,19940621,174,83,0
63730,조지훈,우투우타,투수,19940406,185,91,0
63737,이브랜드,좌투좌타,투수,19831029,186,105,1
63749,이충호,좌투좌타,투수,19940920,182,81,0
63765,김종수,우투우타,투수,19940603,180,80,0
63791,송창현,좌투좌타,투수,19890817,181,100,0
63792,조정원,우투우타,타자,19900810,175,65,0
63810,세든,좌투좌타,투수,19831013,193,100,1
63857,레이예스,좌투좌타,투수,19841120,189,97,1
63894,김정빈,좌투좌타,투수,19940608,182,90,0
63905,윤형준,우투우타,타자,19940131,186,100,0
63913,최재원,우투우타,타자,19900730,183,81,0
63914,손정욱,좌투좌타,투수,19901224,182,84,0
63920,김준완,우투좌타,타자,19910120,174,75,0
63935,이성민,우투우타,투수,19900330,185,92,0
63936,윤강민,우언우타,투수,19901008,183,83,0
63938,해커,우투우타,투수,19830326,185,104,1
63939,찰리,우투우타,투수,19851025,190,93,1
63940,아담,좌투좌타,투수,19871209,188,82,1
63950,장현식,우투우타,투수,19950224,181,91,0
63959,임정호,좌투좌타,투수,19900416,188,90,0
63960,이상민,좌투좌타,투수,19901104,180,85,0
63961,윤호솔,우투우타,투수,19940715,183,99,0
63963,권희동,우투우타,타자,19901230,177,85,0
63967,박으뜸,우투좌타,타자,19900614,176,70,0
63991,박진우,우언우타,투수,19900212,180,83,0
64001,고영표,우언우타,투수,19910916,187,88,0
64004,김민혁,우투좌타,타자,19951121,181,71,0
64006,심우준,우투우타,타자,19950428,183,75,0
64007,문상철,우투우타,타자,19910406,184,85,0
64011,안승한,우투우타,타자,19920125,177,89,0
64012,송민섭,우투우타,타자,19910802,177,80,0
64013,이지찬,우투우타,타자,19910819,174,70,0
64014,김병희,우투우타,타자,19901206,180,82,0
64017,심재민,좌투우타,투수,19940218,182,92,0
64021,박세웅,우투우타,투수,19951130,181,78,0
64022,안중열,우투우타,타자,19950901,174,85,0
64029,류희운,우투우타,투수,19950619,191,103,0
64041,안현준,우언우타,투수,19950323,187,85,0
64047,조현우,좌투좌타,투수,19940330,182,79,0
64049,시스코,좌투좌타,투수,19830113,208,102,1
64051,이영준,좌투좌타,투수,19911010,184,100,0
64086,신성현,우투우타,타자,19901019,183,92,0
64100,박재욱,우투우타,타자,19951206,180,92,0
64115,장준원,우투우타,타자,19951121,183,77,0
64117,양원혁,우투좌타,타자,19910721,174,71,0
64136,티포드,좌투좌타,투수,19840515,183,75,1
64153,양석환,우투우타,타자,19910715,185,90,0
64154,조쉬벨,우투양타,타자,19861113,190,104,1
64155,임지섭,좌투좌타,투수,19950906,189,100,0
64157,리오단,우투우타,투수,19860525,193,90,1
64158,스나이더,좌투좌타,타자,19820525,192,96,1
64164,류형우,우투우타,타자,19950507,182,72,0
64166,배정대,우투우타,타자,19950612,185,80,0
64203,칸투,우투우타,타자,19820130,192,92,1
64204,홍영현,우투우타,투수,19910107,189,87,0
64213,최용제,우투우타,타자,19910712,182,90,0
64219,마야,우투우타,투수,19810828,183,92,1
64230,볼스테드,우투우타,투수,19860923,207,104,1
64255,한주성,우투우타,투수,19950226,184,90,0
64259,최병욱,우투우타,투수,19890602,181,88,0
64260,김경호,우투좌타,타자,19950731,180,68,0
64266,이성곤,우투좌타,타자,19920325,186,93,0
64267,전용훈,우투우타,투수,19950320,182,75,0
64300,김하성,우투우타,타자,19951017,179,78,0
64302,로티노,우투우타,타자,19800407,183,86,1
64340,임지열,우투우타,타자,19950822,180,90,0
64346,임병욱,우투좌타,타자,19950930,185,84,0
64350,하영민,우투우타,투수,19950507,180,68,0
64354,구자형,우투우타,투수,19901130,188,88,0
64396,김윤환,우투우타,투수,19951120,181,71,0
64407,김호재,우투우타,타자,19950531,178,72,0
64410,백승민,좌투좌타,타자,19900709,184,78,0
64430,마틴,우투우타,투수,19830102,193,101,1
64440,나바로,우투우타,타자,19871031,183,93,1
64462,안규현,우투우타,투수,19951130,184,79,0
64464,이수민,좌투좌타,투수,19950911,180,94,0
64468,박계범,우투우타,타자,19960111,178,72,0
64469,송준석,좌투좌타,타자,19940504,176,78,0
64492,김희석,우투우타,타자,19900225,179,75,0
64493,최선호,좌투좌타,타자,19911212,179,70,0
64499,김재현,우투우타,타자,19910830,176,73,0
64501,배성근,우투우타,타자,19950427,181,76,0
64504,오윤석,우투우타,타자,19920224,180,87,0
64553,히메네스,좌투좌타,타자,19820507,192,127,1
64554,문동욱,우투좌타,투수,19920107,187,90,0
64560,이창진,우투우타,타자,19910304,173,85,0
64565,이인복,우투우타,투수,19910618,187,94,0
64594,심규범,좌투좌타,투수,19910904,180,84,0
64596,김유영,좌투좌타,투수,19940502,180,80,0
64602,이은총,우투좌타,타자,19910416,173,75,0
64610,강한울,우투좌타,타자,19910912,181,66,0
64615,차명진,우투우타,투수,19950303,188,104,0
64640,김지훈,우투우타,투수,19920416,181,88,0
64641,어센시오,우투우타,투수,19830530,189,82,1
64646,박찬호,우투우타,타자,19950605,178,72,0
64657,박준태,우투좌타,타자,19910726,181,75,0
64658,홀튼,우투우타,투수,19790812,193,107,1
64659,토마스,좌투좌타,투수,19840118,190,99,1
64699,필,우투우타,타자,19840909,193,102,1
64706,이창열,우투좌타,타자,19910906,175,70,0
64717,지성준,우투우타,타자,19940410,180,92,0
64718,최영환,우투우타,투수,19920220,179,92,0
64724,박준혁,우투좌타,타자,19910109,188,91,0
64737,앨버스,좌투우타,투수,19851006,185,88,1
64746,피에,좌투좌타,타자,19850208,188,86,1
64759,서균,우언양타,투수,19920111,185,81,0
64760,황영국,좌투좌타,투수,19951226,185,83,0
64761,클레이,우투우타,투수,19880215,188,82,1
64762,타투스코,우투좌타,투수,19850327,196,92,1
64764,박한길,우투우타,투수,19940603,187,105,0
64768,조영우,우투좌타,투수,19950627,185,95,0
64769,정광운,우언우타,투수,19910421,184,81,0
64793,김민수,우투우타,타자,19910302,177,80,0
64802,조성모,우투좌타,타자,19920214,179,76,0
64803,임재현,우투우타,타자,19910529,175,80,0
64805,이승진,우투우타,투수,19950107,186,88,0
64824,울프,우투우타,투수,19821018,182,82,1
64861,이건욱,우투우타,투수,19950213,182,85,0
64864,스캇,우투좌타,타자,19780625,182,100,1
64868,조용호,우투좌타,타자,19890909,170,75,0
64890,유서준,우투우타,타자,19951204,180,80,0
64893,박민호,우언우타,투수,19920225,185,95,0
64895,이진석,우투우타,타자,19950520,182,78,0
64906,강민국,우투우타,타자,19920110,176,80,0
64907,강장산,우투우타,투수,19900216,194,104,0
64914,테임즈,우투좌타,타자,19861110,183,95,1
64944,박대온,우투우타,타자,19950828,182,85,0
64956,웨버,우투우타,투수,19840928,189,93,1
64960,김학성,우언우타,투수,19910615,182,91,0
64984,김태진,우투좌타,타자,19951007,170,75,0
64995,배재환,우투우타,투수,19950224,186,95,0
65005,마르테,우투우타,타자,19831021,185,93,1
65036,어윈,우투우타,투수,19870225,191,95,1
65040,김태훈,우투좌타,타자,19960331,177,78,0
65042,홍성무,우투우타,투수,19930125,183,98,0
65044,김만수,우투우타,타자,19960418,180,80,0
65048,김민수,우투우타,투수,19920724,188,80,0
65052,댄블랙,우투양타,타자,19870702,193,116,1
65056,엄상백,우언우타,투수,19961004,190,87,0
65057,이창재,좌투좌타,투수,19921229,178,71,0
65058,정성곤,좌투좌타,투수,19960710,176,74,0
65060,주권,우투우타,투수,19950531,181,82,0
65062,김재윤,우투우타,투수,19900916,185,91,0
65064,윤수호,우투우타,투수,19920709,182,90,0
65067,조무근,우투우타,투수,19910926,199,128,0
65103,히메네스,우투우타,타자,19880118,185,92,1
65104,한나한,우투좌타,타자,19800304,189,91,1
65109,백승현,우투우타,타자,19950526,183,78,0
65115,안익훈,좌투좌타,타자,19960212,176,70,0
65117,이상규,우투우타,투수,19961020,185,77,0
65120,박성준,우투우타,타자,19960327,175,70,0
65132,김재성,우투좌타,타자,19961030,185,85,0
65136,박지규,우투좌타,타자,19911012,183,80,0
65137,루카스,우투양타,투수,19850603,189,91,1
65157,최민창,좌투좌타,타자,19960416,179,76,0
65203,루츠,우투우타,타자,19860603,184,99,1
65206,박성민,좌투좌타,투수,19921114,172,80,0
65207,신민재,우투좌타,타자,19960121,171,67,0
65219,스와잭,우투우타,투수,19850910,193,105,1
65233,로메로,우투우타,타자,19860924,188,102,1
65264,남경호,우투우타,투수,19960407,185,85,0
65269,김민혁,우투우타,타자,19960503,188,100,0
65293,정진철,우투좌타,타자,19911228,177,78,0
65304,김은성,우투우타,타자,19930307,179,83,0
65320,최원태,우투우타,투수,19970107,184,93,0
65331,피어밴드,좌투좌타,투수,19850822,190,102,1
65343,김택형,좌투좌타,투수,19961010,185,90,0
65345,김해수,우투우타,투수,19961213,187,87,0
65348,박주현,우투우타,투수,19960619,184,110,0
65357,송성문,우투좌타,타자,19960829,182,95,0
65368,정용준,우투우타,투수,19950621,181,80,0
65392,김정인,우투우타,투수,19960603,183,70,0
65398,임규빈,우투우타,투수,19910912,184,101,0
65399,허정협,우투우타,타자,19900217,184,92,0
65405,윤영수,우투좌타,타자,19920311,176,76,0
65412,권정웅,우투우타,타자,19921115,180,88,0
65425,클로이드,우투우타,투수,19870516,191,95,1
65444,피가로,우투우타,투수,19840707,183,79,1
65447,최민구,우투우타,타자,19920317,178,75,0
65464,최정용,우투좌타,타자,19961024,178,75,0
65496,홍정우,우투우타,투수,19960316,182,85,0
65506,김재유,우투좌타,타자,19920807,181,77,0
65509,차재용,좌투좌타,투수,19960820,184,82,0
65513,김대륙,우투우타,타자,19920403,185,82,0
65514,강태율,우투우타,타자,19961101,180,88,0
65515,강로한,우투좌타,타자,19920513,181,78,0
65516,배제성,우투좌타,투수,19960929,189,85,0
65523,아두치,좌투좌타,타자,19850515,188,95,1
65543,린드블럼,우투우타,투수,19870615,195,105,1
65546,레일리,좌투좌타,투수,19880629,190,84,1
65586,전병우,우투우타,타자,19921024,182,90,0
65610,황대인,우투우타,타자,19960210,178,100,0
65616,이민우,우투우타,투수,19930209,185,97,0
65618,황인준,우투우타,투수,19910723,184,94,0
65630,에반,우투우타,투수,19830512,186,103,1
65639,박정수,우언좌타,투수,19960129,178,74,0
65643,문경찬,우투우타,투수,19920708,186,85,0
65653,김호령,우투우타,타자,19920430,178,85,0
65658,스틴슨,우투우타,투수,19880314,193,95,1
65659,험버,우투우타,투수,19821221,190,95,1
65661,이종석,우투우타,투수,19920721,185,93,0
65665,이준영,좌투좌타,투수,19920810,177,85,0
65696,김명찬,좌투좌타,투수,19921024,187,106,0
65703,이도윤,우투좌타,타자,19961007,173,71,0
65707,주현상,우투우타,타자,19920810,177,82,0
65733,모건,좌투좌타,타자,19800702,180,80,1
65742,로저스,우투우타,투수,19850814,192,95,1
65762,폭스,우투우타,타자,19820720,184,100,1
65764,김민우,우투우타,투수,19950725,189,105,0
65769,김범수,좌투좌타,투수,19951003,182,81,0
65802,봉민호,좌투좌타,투수,19960626,184,88,0
65823,브라운,우투우타,타자,19840910,182,90,1
65827,조한욱,우투우타,투수,19961219,186,77,0
65856,켈리,우투우타,투수,19881014,188,86,1
65869,이현석,우투우타,타자,19920607,175,90,0
65898,김웅빈,우투좌타,타자,19960209,181,84,0
65905,최승민,우투좌타,타자,19960701,181,73,0
65908,류재인,우언좌타,투수,19960506,184,75,0
65931,스튜어트,우투우타,투수,19860928,188,93,1
65933,구창모,좌투좌타,투수,19970217,183,85,0
65964,이우석,우투우타,투수,19960416,185,90,0
66018,김선기,우투우타,투수,19910901,187,94,0
66032,피노,우투우타,투수,19831226,188,86,1
66047,박세진,좌투좌타,투수,19970627,178,93,0
66049,마리몬,우투우타,투수,19880930,188,88,1
66050,로위,우투우타,투수,19841226,180,86,1
66052,남태혁,우투우타,타자,19910313,187,107,0
66064,김태오,좌투좌타,투수,19970729,182,84,0
66068,서의태,좌투좌타,투수,19970905,194,115,0
66098,김도영,우투우타,투수,19930126,190,103,0
66108,홍창기,우투좌타,타자,19931121,189,94,0
66112,김기연,우투우타,타자,19970907,178,95,0
66138,허프,좌투좌타,투수,19840822,183,88,1
66145,김대현,우투우타,투수,19970308,188,100,0
66154,코프랜드,우투우타,투수,19871215,192,99,1
66160,유재유,우투우타,투수,19970303,181,86,0
66162,김주성,우투우타,타자,19980130,180,81,0
66201,고봉재,우언우타,투수,19930514,185,86,0
66203,서예일,우투우타,타자,19930619,178,83,0
66207,황경태,우투우타,타자,19960817,181,77,0
66209,조수행,우투좌타,타자,19930830,178,73,0
66226,보우덴,우투우타,투수,19860909,190,101,1
66244,에반스,우투우타,타자,19860130,187,105,1
66291,이영하,우투우타,투수,19971101,192,91,0
66302,채상현,우투좌타,타자,19930414,180,83,0
66305,박승주,우투우타,투수,19940212,179,90,0
